id,store_name,store_email,department,income,date_measured,country
1,"Cullen/Frost Bankers, Inc.",,Clothing,$54438554.24,4-2-2006,United States
2,Nordson Corporation,,Tools,$41744177.01,4-1-2006,United Kingdom
3,"Stag Industrial, Inc.",,Beauty,$36152340.34,12-9-2003,United States
4,FIRST REPUBLIC BANK,ecanadine3@fc2.com,Automotive,$8928350.04,8-5-2006,United Kingdom
5,Mercantile Bank Corporation,,Baby,$33552742.32,21-1-1973,United Kingdom
6,"Auburn National Bancorporation, Inc.",ccaldeyroux5@dion.ne.jp,Grocery,$69798987.04,19-9-1999,United Kingdom
7,"Interlink Electronics, Inc.",orodenborch6@skyrock.com,Garden,$22521052.79,8-6-2001,South Africa
8,"Tallgrass Energy Partners, LP",,Grocery,$54405380.40,16-9-1992,United Kingdom
9,Tronox Limited,,Outdoors,$99290004.13,11-1-1992,United States
10,"Synopsys, Inc.",lcancellieri9@tmall.com,Electronics,$44091294.62,11-7-2006,United Kingdom
11,"Hercules Capital, Inc.",,Beauty,$91009365.11,12-2-1994,Unknown
12,TrustCo Bank Corp NY,,Garden,$24853409.58,8-3-1993,United States
13,Canadian Pacific Railway Limited,,Electronics,$65184489.16,24-8-1966,Unknown
14,"Copart, Inc.",,Kids,$54371540.24,14-2-2005,South Africa
15,"Autoliv, Inc.",,Music,$25747934.59,15-1-1986,United Kingdom
16,New Home Company Inc. (The),nhinchcliffef@whitehouse.gov,Shoes,$90808764.99,21-4-1993,United Kingdom
17,First Financial Corporation Indiana,,Electronics,$26955392.71,20-8-2007,United Kingdom
18,Royal Bank Scotland plc (The),clernihanh@google.cn,Music,$2290913.13,22-11-2002,South Africa
19,Vulcan Materials Company,croxburghi@ed.gov,Health,$8888812.21,8-9-2009,United Kingdom
20,Methanex Corporation,bsussansj@google.es,,$20201805.61,7-4-2009,United Kingdom
21,Capitala Finance Corp.,,Clothing,$53247043.04,11-4-2009,United Kingdom
22,PowerShares S&P SmallCap Energy Portfolio,,Kids,$93408516.83,6-8-1998,United Kingdom
23,"Thor Industries, Inc.",,Industrial,$23189326.11,10-6-1993,United Kingdom
24,"Onconova Therapeutics, Inc.",,Movies,$2751890.91,10-9-2005,United Kingdom
25,Assured Guaranty Ltd.,,Jewelry,$41704053.97,8-8-2002,Unknown
26,Canadian Imperial Bank of Commerce,izanetellop@intel.com,Toys,$76415622.90,11-4-2006,United States
27,Black Hills Corporation,,Garden,$62498022.77,25-12-1969,South Africa
28,Novelion Therapeutics Inc. ,,Beauty,$52885296.66,13-3-2012,South Africa
29,"Synthetic Fixed-Income Securities, Inc.",,Jewelry,$95440266.37,8-7-2001,United Kingdom
30,"Marinus Pharmaceuticals, Inc.",cperviewt@accuweather.com,Home,$65709900.96,4-12-1996,United Kingdom
31,Ferroglobe PLC,volderu@yolasite.com,Outdoors,$17091915.76,23-2-1995,Unknown
32,Gladstone Commercial Corporation,,Jewelry,$35560625.69,17-3-1989,United Kingdom
33,"Mellanox Technologies, Ltd.",,,$76894243.13,11-4-2010,United Kingdom
34,American Outdoor Brands Corporation,,Toys,$3505941.60,9-9-1994,United Kingdom
35,"Paychex, Inc.",,Electronics,$15680466.33,25-8-2005,United Kingdom
36,American Campus Communities Inc,,Electronics,$39976625.15,19-1-2008,United Kingdom
37,"Citizens Financial Group, Inc.",dprimmer10@google.com,Movies,$68063757.74,5-2-2012,United Kingdom
38,AllianzGI Convertible & Income Fund II,zattenborough11@zdnet.com,Games,$75932149.61,21-6-2007,United States
39,"Mueller Industries, Inc.",,Movies,$43762308.69,23-9-2006,United Kingdom
40,First Potomac Realty Trust,bglossup13@usnews.com,Tools,$5665154.91,22-4-1997,South Africa
41,The Gabelli Healthcare & Wellness Trust,,Home,$7096977.36,19-6-1989,South Africa
42,"Ebix, Inc.",vsprigin15@hatena.ne.jp,Garden,$86041109.50,16-8-1994,United Kingdom
43,Torchmark Corporation,esliman16@amazon.de,Clothing,$74811428.77,23-2-2006,Unknown
44,Actua Corporation,,Automotive,$88923238.13,17-7-2011,United States
